,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
84,"frozenset({'Yoshi', 'Fox', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
85,"frozenset({'Yoshi', 'Jigglypuff', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
86,"frozenset({'Yoshi', 'Fox'})","frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
87,"frozenset({'Yoshi', 'Jigglypuff'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
88,"frozenset({'Yoshi', 'Falco'})","frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
89,frozenset({'Yoshi'}),"frozenset({'Fox', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
90,"frozenset({'Marth', 'Yoshi', 'Fox'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
91,"frozenset({'Marth', 'Yoshi', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
92,"frozenset({'Yoshi', 'Fox', 'Falco'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
93,"frozenset({'Marth', 'Yoshi'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
94,"frozenset({'Yoshi', 'Fox'})","frozenset({'Marth', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
95,"frozenset({'Yoshi', 'Falco'})","frozenset({'Marth', 'Fox'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
96,frozenset({'Yoshi'}),"frozenset({'Marth', 'Fox', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
97,"frozenset({'Marth', 'Yoshi', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
98,"frozenset({'Marth', 'Yoshi', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
99,"frozenset({'Yoshi', 'Jigglypuff', 'Falco'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
100,"frozenset({'Marth', 'Yoshi'})","frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
101,"frozenset({'Yoshi', 'Jigglypuff'})","frozenset({'Marth', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
102,"frozenset({'Yoshi', 'Falco'})","frozenset({'Marth', 'Jigglypuff'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
103,frozenset({'Yoshi'}),"frozenset({'Marth', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
104,"frozenset({'Yoshi', 'Fox', 'Marth'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
105,"frozenset({'Yoshi', 'Jigglypuff', 'Marth'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
106,"frozenset({'Yoshi', 'Fox', 'Jigglypuff'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
107,"frozenset({'Yoshi', 'Marth'})","frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
